geneids	refseqids
TcCLB.412509.10	XP_802310
TcCLB.412723.9	XP_805185
TcCLB.412943.9	XP_802305
TcCLB.413293.20	XP_804319
TcCLB.413293.9	XP_804320
TcCLB.413605.10	XP_802996
TcCLB.413859.10	XP_802175
TcCLB.413977.10	XP_802362
TcCLB.414145.9	XP_802260
TcCLB.414243.10	XP_803079
TcCLB.414243.20	XP_803080
TcCLB.414243.29	XP_803081
TcCLB.414517.9	XP_802170
TcCLB.414661.9	XP_802374
TcCLB.415187.10	XP_802233
TcCLB.415187.19	XP_802234
TcCLB.415789.9	XP_804315
TcCLB.415803.10	XP_802264
TcCLB.416041.14	XP_805440
TcCLB.416143.10	XP_802146
TcCLB.416511.9	XP_802464
TcCLB.416605.10	XP_804333
TcCLB.416605.15	XP_804335
TcCLB.416605.30	XP_804334
TcCLB.416735.10	XP_802349
TcCLB.416761.10	XP_803287
TcCLB.416809.10	XP_805248
TcCLB.416883.18	XP_802386
TcCLB.416883.9	XP_802387
TcCLB.416891.19	XP_802452
TcCLB.416891.9	XP_802451
TcCLB.417091.10	XP_802483
TcCLB.417203.9	XP_802608
TcCLB.417797.9	XP_802168
TcCLB.417939.9	XP_802456
TcCLB.418069.10	XP_802134
TcCLB.418113.9	XP_802240
TcCLB.418185.70	XP_807757
TcCLB.418185.90	XP_807758
TcCLB.418221.10	XP_804021
TcCLB.418221.20	XP_804022
TcCLB.418221.30	XP_804023
TcCLB.418221.4	XP_804024
TcCLB.418405.10	XP_803105
TcCLB.418405.30	XP_803104
TcCLB.418613.20	XP_802313
TcCLB.419043.10	XP_802541
TcCLB.419207.9	XP_802400
TcCLB.419417.10	XP_802882
TcCLB.419417.19	XP_802883
TcCLB.419417.4	XP_802884
TcCLB.419469.14	XP_803316
TcCLB.419469.30	XP_803315
TcCLB.419637.9	XP_802314
TcCLB.419703.10	XP_802490
TcCLB.419703.20	XP_802491
TcCLB.419833.10	XP_802221
TcCLB.420091.10	XP_802203
TcCLB.420293.20	XP_806226
TcCLB.420293.31	XP_806227
TcCLB.420369.40	XP_806076
TcCLB.420533.9	XP_802222
TcCLB.420719.9	XP_802356
TcCLB.420989.10	XP_802555
TcCLB.421057.10	XP_802341
TcCLB.421057.20	XP_802342
TcCLB.421173.14	XP_803952
TcCLB.421173.4	XP_803951
TcCLB.421231.10	XP_802512
TcCLB.421321.9	XP_802598
TcCLB.421555.9	XP_802329
TcCLB.421619.10	XP_802710
TcCLB.421621.50	XP_804691
TcCLB.421959.10	XP_802169
TcCLB.422031.10	XP_802181
TcCLB.422041.9	XP_802715
TcCLB.422189.10	XP_802627
TcCLB.422189.20	XP_802628
TcCLB.422207.10	XP_802259
TcCLB.422319.10	XP_802518
TcCLB.422507.10	XP_802309
TcCLB.422867.10	XP_804567
TcCLB.422921.10	XP_802395
TcCLB.422921.20	XP_802396
TcCLB.423205.10	XP_802401
TcCLB.423707.10	XP_802173
TcCLB.424123.20	XP_803948
TcCLB.424123.30	XP_803949
TcCLB.424123.40	XP_803950
TcCLB.424195.5	XP_802543
TcCLB.424195.9	XP_802542
TcCLB.424499.10	XP_803122
TcCLB.424771.10	XP_802232
TcCLB.424795.10	XP_802217
TcCLB.424889.10	XP_802367
TcCLB.424937.10	XP_802333
TcCLB.424937.20	XP_802334
TcCLB.425311.9	XP_802574
TcCLB.425435.10	XP_802520
TcCLB.425785.18	XP_802410
TcCLB.425785.9	XP_802409
TcCLB.425839.10	XP_802442
TcCLB.425851.9	XP_802248
TcCLB.425855.9	XP_802544
TcCLB.425969.5	XP_802577
TcCLB.425969.9	XP_802576
TcCLB.426071.10	XP_802404
TcCLB.426397.9	XP_802180
TcCLB.426435.9	XP_802238
TcCLB.426675.9	XP_802171
TcCLB.426799.19	XP_802296
TcCLB.426799.9	XP_802295
TcCLB.426897.10	XP_803961
TcCLB.426897.4	XP_803962
TcCLB.427091.10	XP_802138
TcCLB.427237.9	XP_802204
TcCLB.427247.10	XP_803149
TcCLB.427247.4	XP_803150
TcCLB.427355.10	XP_802186
TcCLB.427743.9	XP_802375
TcCLB.427789.10	XP_804148
TcCLB.427789.20	XP_804149
TcCLB.427789.30	XP_804150
TcCLB.427789.39	XP_804151
TcCLB.428403.10	XP_802343
TcCLB.428403.5	XP_802344
TcCLB.428999.10	XP_804436
TcCLB.428999.20	XP_804437
TcCLB.428999.30	XP_804438
TcCLB.429229.10	XP_802321
TcCLB.429251.10	XP_802178
TcCLB.429257.10	XP_803428
TcCLB.429257.20	XP_803432
TcCLB.430061.9	XP_802584
TcCLB.430281.20	XP_802417
TcCLB.430539.10	XP_802607
TcCLB.430539.20	XP_802606
TcCLB.430603.20	XP_802593
TcCLB.430605.10	XP_805812
TcCLB.430605.20	XP_805813
TcCLB.430605.29	XP_805815
TcCLB.430605.40	XP_805814
TcCLB.430727.9	XP_802183
TcCLB.430737.10	XP_802288
TcCLB.430737.20	XP_802287
TcCLB.430895.10	XP_804675
TcCLB.430895.16	XP_804677
TcCLB.430895.4	XP_804676
TcCLB.431357.10	XP_802458
TcCLB.431357.20	XP_802459
TcCLB.431849.10	XP_802249
TcCLB.431849.20	XP_802250
TcCLB.431889.10	XP_802191
TcCLB.432027.9	XP_802270
TcCLB.432067.10	XP_802492
TcCLB.432443.10	XP_802523
TcCLB.432621.9	XP_802235
TcCLB.432629.30	XP_805129
TcCLB.432677.20	XP_802407
TcCLB.432867.10	XP_802515
TcCLB.432867.20	XP_802514
TcCLB.432995.9	XP_802262
TcCLB.432997.10	XP_802557
TcCLB.433061.10	XP_802261
TcCLB.433237.10	XP_802494
TcCLB.433273.10	XP_802226
TcCLB.433559.10	XP_802283
TcCLB.433677.10	XP_802429
TcCLB.433677.19	XP_802430
TcCLB.433733.10	XP_802237
TcCLB.434259.10	XP_802673
TcCLB.434259.19	XP_802674
TcCLB.434931.10	XP_802646
TcCLB.434931.20	XP_802647
TcCLB.434945.10	XP_802359
TcCLB.434945.4	XP_802360
TcCLB.435519.10	XP_802531
TcCLB.435519.19	XP_802532
TcCLB.435665.10	XP_802381
TcCLB.436083.9	XP_802167
TcCLB.436137.9	XP_804690
TcCLB.436497.10	XP_802615
TcCLB.436521.9	XP_802528
TcCLB.436535.10	XP_802961
TcCLB.436535.19	XP_802960
TcCLB.436761.10	XP_802223
TcCLB.436761.20	XP_802224
TcCLB.437121.9	XP_803064
TcCLB.437155.9	XP_802149
TcCLB.437349.10	XP_802545
TcCLB.437575.18	XP_802828
TcCLB.437575.9	XP_802829
TcCLB.437999.9	XP_802690
TcCLB.438059.10	XP_802228
TcCLB.438147.18	XP_802307
TcCLB.438147.9	XP_802308
TcCLB.438313.9	XP_802489
TcCLB.438897.10	XP_802495
TcCLB.438923.10	XP_802581
TcCLB.439125.10	XP_802218
TcCLB.439245.10	XP_802301
TcCLB.439301.9	XP_802190
TcCLB.439307.19	XP_802477
TcCLB.439307.9	XP_802476
TcCLB.439653.10	XP_802434
TcCLB.440099.10	XP_802780
TcCLB.440099.19	XP_802781
TcCLB.440099.28	XP_802782
TcCLB.440101.10	XP_802239
TcCLB.440343.9	XP_802551
TcCLB.440363.10	XP_802486
TcCLB.440363.19	XP_802487
TcCLB.441061.9	XP_802152
TcCLB.441241.10	XP_802211
TcCLB.441401.10	XP_802592
TcCLB.441729.9	XP_802165
TcCLB.441923.10	XP_802357
TcCLB.441967.9	XP_802155
TcCLB.442297.10	XP_802156
TcCLB.442383.19	XP_802423
TcCLB.442383.9	XP_802422
TcCLB.442495.10	XP_802631
TcCLB.442495.19	XP_802632
TcCLB.442629.9	XP_802174
TcCLB.442801.10	XP_802242
TcCLB.443397.9	XP_802229
TcCLB.443403.9	XP_802207
TcCLB.443683.9	XP_802255
TcCLB.443971.10	XP_802340
TcCLB.444331.10	XP_802257
TcCLB.444777.10	XP_803486
TcCLB.444777.20	XP_803487
TcCLB.444777.29	XP_803488
TcCLB.445011.10	XP_802516
TcCLB.445011.19	XP_802517
TcCLB.445281.9	XP_802227
TcCLB.445553.10	XP_802418
TcCLB.445557.10	XP_802282
TcCLB.445777.10	XP_802136
TcCLB.445849.10	XP_802206
TcCLB.445869.10	XP_802216
TcCLB.446067.9	XP_803091
TcCLB.446325.9	XP_802478
TcCLB.447135.10	XP_803998
TcCLB.447255.10	XP_803478
TcCLB.447255.20	XP_803479
TcCLB.447255.29	XP_803480
TcCLB.447255.4	XP_803481
TcCLB.447483.10	XP_802560
TcCLB.447483.4	XP_802561
TcCLB.447705.19	XP_802162
TcCLB.447705.9	XP_802161
TcCLB.447801.10	XP_802244
TcCLB.447925.10	XP_802133
TcCLB.448197.10	XP_802182
TcCLB.448387.9	XP_802424
TcCLB.448567.9	XP_802297
TcCLB.448661.10	XP_802388
TcCLB.448661.20	XP_802389
TcCLB.449247.10	XP_802806
TcCLB.449247.20	XP_802807
TcCLB.449247.4	XP_802808
TcCLB.449759.9	XP_802258
TcCLB.450019.9	XP_804172
TcCLB.450061.10	XP_802728
TcCLB.450155.9	XP_802439
TcCLB.450161.10	XP_802135
TcCLB.450489.10	XP_802230
TcCLB.451263.9	XP_802256
TcCLB.452039.9	XP_802318
TcCLB.452283.4	XP_802337
TcCLB.452475.10	XP_802251
TcCLB.452699.30	XP_805816
TcCLB.452895.10	XP_802271
TcCLB.453445.10	XP_802739
TcCLB.453445.20	XP_802740
TcCLB.453767.50	XP_805415
TcCLB.453917.9	XP_802444
TcCLB.454787.10	XP_802468
TcCLB.455171.9	XP_802208
TcCLB.455721.9	XP_802783
TcCLB.455727.10	XP_802358
TcCLB.456021.10	XP_802196
TcCLB.456097.10	XP_806229
TcCLB.456097.30	XP_806230
TcCLB.456139.10	XP_802618
TcCLB.457101.10	XP_805392
TcCLB.457101.20	XP_805393
TcCLB.457101.30	XP_805394
TcCLB.457109.9	XP_802219
TcCLB.457251.10	XP_802815
TcCLB.457251.19	XP_802816
TcCLB.457339.10	XP_802346
TcCLB.457339.19	XP_802347
TcCLB.457547.9	XP_803317
TcCLB.457979.10	XP_802770
TcCLB.458015.10	XP_803318
TcCLB.458015.4	XP_803319
TcCLB.458153.10	XP_802445
TcCLB.458241.10	XP_802669
TcCLB.458759.10	XP_802970
TcCLB.458759.14	XP_802972
TcCLB.458759.20	XP_802971
TcCLB.459061.10	XP_802565
TcCLB.459199.10	XP_804263
TcCLB.459389.10	XP_802597
TcCLB.459793.10	XP_802684
TcCLB.460061.10	XP_802198
TcCLB.460061.20	XP_802197
TcCLB.460111.10	XP_802609
TcCLB.460125.10	XP_802273
TcCLB.460127.20	XP_805036
TcCLB.460127.30	XP_805037
TcCLB.460747.20	XP_804528
TcCLB.460747.30	XP_804529
TcCLB.460747.9	XP_804530
TcCLB.460757.10	XP_802354
TcCLB.460757.20	XP_802355
TcCLB.461165.10	XP_803357
TcCLB.461165.16	XP_803359
TcCLB.461165.4	XP_803358
TcCLB.461515.10	XP_802433
TcCLB.461927.9	XP_802447
TcCLB.462543.9	XP_802195
TcCLB.462545.9	XP_802475
TcCLB.462761.10	XP_802988
TcCLB.462761.16	XP_802990
TcCLB.462761.4	XP_802989
TcCLB.463155.20	XP_805669
TcCLB.463269.10	XP_802225
TcCLB.463279.20	XP_804173
TcCLB.463279.9	XP_804174
TcCLB.463297.10	XP_802298
TcCLB.463323.10	XP_804487
TcCLB.463359.9	XP_802457
TcCLB.463451.10	XP_802588
TcCLB.463451.4	XP_802589
TcCLB.463673.9	XP_802243
TcCLB.463955.10	XP_803734
TcCLB.463955.20	XP_803738
TcCLB.464415.10	XP_802302
TcCLB.464807.10	XP_803339
TcCLB.464807.20	XP_803340
TcCLB.464879.9	XP_802148
TcCLB.465323.10	XP_802380
TcCLB.465323.20	XP_802379
TcCLB.466007.9	XP_802402
TcCLB.466529.9	XP_802212
TcCLB.466531.9	XP_802164
TcCLB.466593.10	XP_802758
TcCLB.466593.19	XP_802759
TcCLB.466823.10	XP_802469
TcCLB.466823.20	XP_802470
TcCLB.466879.10	XP_802179
TcCLB.467287.10	XP_804396
TcCLB.467287.20	XP_804397
TcCLB.467287.30	XP_804398
TcCLB.467465.10	XP_802460
TcCLB.467795.19	XP_802416
TcCLB.467795.9	XP_802415
TcCLB.468005.9	XP_802323
TcCLB.468041.10	XP_804276
TcCLB.468217.14	XP_803335
TcCLB.468217.30	XP_803334
TcCLB.468283.9	XP_802365
TcCLB.468405.9	XP_802263
TcCLB.468803.10	XP_802435
TcCLB.468941.9	XP_802274
TcCLB.469435.10	XP_802350
TcCLB.469435.4	XP_802351
TcCLB.469735.9	XP_803120
TcCLB.469785.10	XP_805252
TcCLB.469785.20	XP_805253
TcCLB.469785.30	XP_805254
TcCLB.469785.40	XP_805255
TcCLB.469785.5	XP_805256
TcCLB.470169.9	XP_802493
TcCLB.470399.10	XP_802382
TcCLB.470521.10	XP_802431
TcCLB.470687.9	XP_802676
TcCLB.470827.20	XP_804501
TcCLB.471403.9	XP_804300
TcCLB.471901.10	XP_803542
TcCLB.471901.20	XP_803544
TcCLB.471901.5	XP_803548
TcCLB.472357.10	XP_804542
TcCLB.472777.20	XP_802921
TcCLB.472777.30	XP_802922
TcCLB.472777.9	XP_802923
TcCLB.472833.10	XP_802254
TcCLB.473111.10	XP_802245
TcCLB.473313.10	XP_802279
TcCLB.473619.9	XP_802246
TcCLB.473633.9	XP_802269
TcCLB.473703.10	XP_802172
TcCLB.473709.10	XP_802157
TcCLB.473755.9	XP_802446
TcCLB.474339.9	XP_802319
TcCLB.474341.9	XP_802363
TcCLB.474887.9	XP_802193
TcCLB.474937.9	XP_802448
TcCLB.475705.9	XP_802626
TcCLB.476125.9	XP_802591
TcCLB.476421.9	XP_802682
TcCLB.476725.9	XP_803987
TcCLB.476733.10	XP_804356
TcCLB.476733.20	XP_804357
TcCLB.476733.29	XP_804358
TcCLB.477079.10	XP_802575
TcCLB.477957.10	XP_802569
TcCLB.477983.10	XP_802462
TcCLB.478463.10	XP_802399
TcCLB.478671.9	XP_802315
TcCLB.479253.9	XP_802376
TcCLB.479379.9	XP_802199
TcCLB.479481.10	XP_802752
TcCLB.479517.30	XP_804844
TcCLB.479517.50	XP_804845
TcCLB.479847.20	XP_802776
TcCLB.479883.10	XP_802188
TcCLB.480561.10	XP_802293
TcCLB.480653.10	XP_802231
TcCLB.480785.10	XP_802621
TcCLB.480963.10	XP_804527
TcCLB.480975.10	XP_802192
TcCLB.480997.10	XP_802834
TcCLB.481099.9	XP_802553
TcCLB.481211.10	XP_804837
TcCLB.481211.20	XP_804838
TcCLB.481211.30	XP_804839
TcCLB.481211.5	XP_804840
TcCLB.481435.9	XP_802371
TcCLB.481729.10	XP_802280
TcCLB.481729.20	XP_802281
TcCLB.482097.10	XP_802200
TcCLB.482097.20	XP_802201
TcCLB.482319.10	XP_802465
TcCLB.482319.19	XP_802466
TcCLB.482369.10	XP_804678
TcCLB.482369.20	XP_804679
TcCLB.482369.29	XP_804680
TcCLB.482425.10	XP_802658
TcCLB.482471.10	XP_802801
TcCLB.482471.19	XP_802802
TcCLB.482971.9	XP_802311
TcCLB.483009.9	XP_802406
TcCLB.483183.10	XP_802392
TcCLB.483581.9	XP_802163
TcCLB.483623.10	XP_802187
TcCLB.483813.10	XP_802194
TcCLB.484299.10	XP_802453
TcCLB.484299.4	XP_802454
TcCLB.484311.10	XP_802556
TcCLB.484949.9	XP_802582
TcCLB.485683.10	XP_802436
TcCLB.485683.5	XP_802437
TcCLB.485845.9	XP_802339
TcCLB.485889.10	XP_804204
TcCLB.485889.16	XP_804206
TcCLB.485889.4	XP_804205
TcCLB.486465.9	XP_802159
TcCLB.486901.10	XP_802370
TcCLB.487507.10	XP_802393
TcCLB.490165.19	XP_802285
TcCLB.490165.9	XP_802284
TcCLB.490507.10	XP_802472
TcCLB.492827.10	XP_802330
TcCLB.494675.10	XP_802708
TcCLB.495369.10	XP_802143
TcCLB.498829.10	XP_802862
TcCLB.498829.21	XP_802863
TcCLB.503391.10	XP_802158
TcCLB.503393.10	XP_802140
TcCLB.503395.10	XP_805113
TcCLB.503395.20	XP_805114
TcCLB.503395.30	XP_805115
TcCLB.503395.40	XP_805116
TcCLB.503395.50	XP_805117
TcCLB.503395.59	XP_805118
TcCLB.503399.10	XP_804297
TcCLB.503399.20	XP_804298
TcCLB.503399.29	XP_804299
TcCLB.503401.11	XP_805963
TcCLB.503401.20	XP_805960
TcCLB.503401.29	XP_805962
TcCLB.503401.40	XP_805961
TcCLB.503403.20	XP_803984
TcCLB.503405.10	XP_803102
TcCLB.503407.10	XP_804103
TcCLB.503407.20	XP_804104
TcCLB.503409.10	XP_803897
TcCLB.503409.20	XP_803898
TcCLB.503411.10	XP_806023
TcCLB.503411.20	XP_806024
TcCLB.503411.30	XP_806025
TcCLB.503411.4	XP_806026
TcCLB.503413.19	XP_805743
TcCLB.503413.4	XP_805742
TcCLB.503415.30	XP_808767
TcCLB.503415.40	XP_808768
TcCLB.503417.20	XP_807861
TcCLB.503417.30	XP_807862
TcCLB.503417.33	XP_807866
TcCLB.503417.36	XP_807865
TcCLB.503417.40	XP_807863
TcCLB.503417.50	XP_807864
TcCLB.503419.10	XP_807378
TcCLB.503419.20	XP_807379
TcCLB.503419.30	XP_807380
TcCLB.503419.40	XP_807381
TcCLB.503419.50	XP_807382
TcCLB.503419.54	XP_807384
TcCLB.503419.60	XP_807383
TcCLB.503423.20	XP_804705
TcCLB.503423.30	XP_804706
TcCLB.503423.5	XP_804707
TcCLB.503425.10	XP_803205
TcCLB.503425.20	XP_803206
TcCLB.503425.29	XP_803207
TcCLB.503425.5	XP_803208
TcCLB.503427.9	XP_803204
TcCLB.503429.30	XP_805353
TcCLB.503429.39	XP_805354
TcCLB.503431.10	XP_809237
TcCLB.503431.100	XP_809246
TcCLB.503431.109	XP_809247
TcCLB.503431.20	XP_809238
TcCLB.503431.30	XP_809239
TcCLB.503431.40	XP_809240
TcCLB.503431.50	XP_809241
TcCLB.503431.60	XP_809242
TcCLB.503431.70	XP_809243
TcCLB.503431.80	XP_809244
TcCLB.503431.90	XP_809245
TcCLB.503433.10	XP_804197
TcCLB.503433.20	XP_804198
TcCLB.503433.30	XP_804199
TcCLB.503435.14	XP_804201
TcCLB.503435.30	XP_804200
TcCLB.503441.5	XP_805130
TcCLB.503445.9	XP_804451
TcCLB.503447.20	XP_810389
TcCLB.503447.40	XP_810390
TcCLB.503447.50	XP_810391
TcCLB.503447.60	XP_810392
TcCLB.503449.10	XP_804874
TcCLB.503449.14	XP_804878
TcCLB.503449.20	XP_804875
TcCLB.503449.30	XP_804876
TcCLB.503449.40	XP_804877
TcCLB.503449.5	XP_804879
TcCLB.503451.9	XP_803937
TcCLB.503453.10	XP_810699
TcCLB.503453.100	XP_810708
TcCLB.503453.20	XP_810700
TcCLB.503453.30	XP_810701
TcCLB.503453.4	XP_810710
TcCLB.503453.40	XP_810702
TcCLB.503453.50	XP_810703
TcCLB.503453.60	XP_810704
TcCLB.503453.64	XP_810709
TcCLB.503453.70	XP_810705
TcCLB.503453.80	XP_810706
TcCLB.503453.90	XP_810707
TcCLB.503455.10	XP_806798
TcCLB.503455.20	XP_806799
TcCLB.503455.30	XP_806800
TcCLB.503457.10	XP_802765
TcCLB.503457.4	XP_802766
TcCLB.503459.10	XP_802850
TcCLB.503459.20	XP_802851
TcCLB.503459.29	XP_802852
TcCLB.503461.20	XP_805040
TcCLB.503461.30	XP_805041
TcCLB.503463.10	XP_804853
TcCLB.503463.20	XP_804854
TcCLB.503463.30	XP_804855
TcCLB.503465.10	XP_806609
TcCLB.503465.30	XP_806610
TcCLB.503465.40	XP_806611
TcCLB.503465.49	XP_806612
TcCLB.503467.20	XP_804497
TcCLB.503467.30	XP_804498
TcCLB.503467.9	XP_804499
TcCLB.503469.9	XP_805736
TcCLB.503471.10	XP_805262
TcCLB.503471.19	XP_805263
TcCLB.503473.10	XP_803312
TcCLB.503473.20	XP_803313
TcCLB.503473.4	XP_803314
TcCLB.503477.10	XP_805739
TcCLB.503477.20	XP_805740
TcCLB.503477.30	XP_805741
TcCLB.503479.10	XP_810143
TcCLB.503479.30	XP_810144
TcCLB.503479.40	XP_810145
TcCLB.503479.49	XP_810148
TcCLB.503479.60	XP_810146
TcCLB.503479.70	XP_810147
TcCLB.503481.20	XP_804091
TcCLB.503483.9	XP_802854
TcCLB.503487.10	XP_807220
TcCLB.503487.20	XP_807221
TcCLB.503487.30	XP_807222
TcCLB.503487.40	XP_807223
TcCLB.503487.50	XP_807224
TcCLB.503487.60	XP_807225
TcCLB.503487.70	XP_807226
TcCLB.503489.10	XP_805079
TcCLB.503489.20	XP_805080
TcCLB.503489.24	XP_805082
TcCLB.503489.30	XP_805081
TcCLB.503491.19	XP_807460
TcCLB.503491.39	XP_807461
TcCLB.503493.10	XP_805434
TcCLB.503493.20	XP_805435
TcCLB.503493.30	XP_805436
TcCLB.503493.40	XP_805437
TcCLB.503495.10	XP_808190
TcCLB.503495.5	XP_808191
TcCLB.503499.10	XP_804921
TcCLB.503499.20	XP_804922
TcCLB.503499.24	XP_804923
TcCLB.503501.14	XP_806649
TcCLB.503501.7	XP_806650
TcCLB.503501.70	XP_806648
TcCLB.503503.30	XP_805598
TcCLB.503503.40	XP_805599
TcCLB.503505.10	XP_804322
TcCLB.503505.14	XP_804324
TcCLB.503505.20	XP_804323
TcCLB.503507.20	XP_804810
TcCLB.503507.50	XP_804811
TcCLB.503509.10	XP_803082
TcCLB.503511.10	XP_802910
TcCLB.503513.10	XP_805223
TcCLB.503513.20	XP_805224
TcCLB.503513.40	XP_805225
TcCLB.503515.14	XP_804447
TcCLB.503515.20	XP_804445
TcCLB.503515.7	XP_804446
TcCLB.503519.20	XP_805360
TcCLB.503519.30	XP_805361
TcCLB.503519.40	XP_805362
TcCLB.503521.10	XP_808497
TcCLB.503521.20	XP_808498
TcCLB.503521.30	XP_808499
TcCLB.503521.39	XP_808504
TcCLB.503521.50	XP_808500
TcCLB.503521.60	XP_808501
TcCLB.503521.80	XP_808502
TcCLB.503521.89	XP_808503
TcCLB.503525.10	XP_806577
TcCLB.503525.20	XP_806578
TcCLB.503525.30	XP_806579
TcCLB.503525.4	XP_806582
TcCLB.503525.40	XP_806580
TcCLB.503525.50	XP_806581
TcCLB.503527.10	XP_806760
TcCLB.503527.20	XP_806761
TcCLB.503527.29	XP_806765
TcCLB.503527.40	XP_806762
TcCLB.503527.50	XP_806763
TcCLB.503527.60	XP_806764
TcCLB.503529.10	XP_804936
TcCLB.503529.20	XP_804934
TcCLB.503529.30	XP_804935
TcCLB.503531.10	XP_805711
TcCLB.503531.20	XP_805712
TcCLB.503531.40	XP_805713
TcCLB.503531.49	XP_805714
TcCLB.503533.30	XP_808182
TcCLB.503533.40	XP_808183
TcCLB.503533.50	XP_808184
TcCLB.503533.61	XP_808185
TcCLB.503535.9	XP_804336
TcCLB.503539.10	XP_803904
TcCLB.503539.20	XP_803905
TcCLB.503539.30	XP_803906
TcCLB.503541.10	XP_804207
TcCLB.503541.20	XP_804208
TcCLB.503541.30	XP_804209
TcCLB.503541.40	XP_804210
TcCLB.503541.5	XP_804211
TcCLB.503543.10	XP_803052
TcCLB.503543.20	XP_803053
TcCLB.503543.4	XP_803054
TcCLB.503551.20	XP_805006
TcCLB.503555.10	XP_805294
TcCLB.503555.20	XP_805295
TcCLB.503555.30	XP_805296
TcCLB.503555.40	XP_805297
TcCLB.503555.50	XP_805298
TcCLB.503557.10	XP_804619
TcCLB.503557.14	XP_804623
TcCLB.503557.20	XP_804620
TcCLB.503557.30	XP_804621
TcCLB.503557.40	XP_804622
TcCLB.503557.49	XP_804624
TcCLB.503559.100	XP_812024
TcCLB.503559.109	XP_812025
TcCLB.503559.70	XP_812021
TcCLB.503559.80	XP_812022
TcCLB.503559.90	XP_812023
TcCLB.503561.10	XP_803236
TcCLB.503561.20	XP_803237
TcCLB.503563.10	XP_805071
TcCLB.503563.14	XP_805073
TcCLB.503563.20	XP_805072
TcCLB.503563.29	XP_805074
TcCLB.503565.10	XP_803107
TcCLB.503565.20	XP_803108
TcCLB.503565.29	XP_803109
TcCLB.503567.9	XP_805261
TcCLB.503571.10	XP_805177
TcCLB.503571.19	XP_805178
TcCLB.503573.9	XP_803907
TcCLB.503575.27	XP_808408
TcCLB.503575.34	XP_808409
TcCLB.503575.40	XP_808404
TcCLB.503575.50	XP_808405
