geneids	uniprotids
TcCLB.422319.10	Q4CLC0
TcCLB.422507.10	Q4CKR1
TcCLB.422867.10	Q4CR14
TcCLB.422921.10	Q4CKZ8
TcCLB.422921.20	Q4CKZ7
TcCLB.423205.10	Q4CL03
TcCLB.423707.10	Q4CKC5
TcCLB.424123.20	Q4CP97
TcCLB.424123.30	Q4CP96
TcCLB.424123.40	Q4CP95
TcCLB.424195.5	Q4CLE5
TcCLB.424195.9	Q4CLE4
TcCLB.424499.10	Q4CN24
TcCLB.424771.10	Q4CKI4
TcCLB.424795.10	Q4CKG9
TcCLB.424889.10	Q4CKW9
TcCLB.424937.10	Q4CKT6
TcCLB.424937.20	Q4CKT5
TcCLB.425311.9	Q4CLH6
TcCLB.425435.10	Q4CLC2
TcCLB.425785.18	Q4CL11
TcCLB.425785.9	Q4CL12
TcCLB.425839.10	Q4CL44
TcCLB.425851.9	Q4CKK0
TcCLB.425855.9	Q4CLE6
TcCLB.425969.5	Q4CLH9
TcCLB.425969.9	Q4CLH8
TcCLB.426071.10	Q4CL06
TcCLB.426397.9	Q4CKD2
TcCLB.426435.9	Q4CKJ0
TcCLB.426675.9	Q4CKC3
TcCLB.426799.19	Q4CKP7
TcCLB.426799.9	Q4CKP8
TcCLB.426897.10	Q4CPA8
TcCLB.426897.4	Q4CPA9
TcCLB.427091.10	Q4CK90
TcCLB.427237.9	Q4CKF6
TcCLB.427247.10	Q4CN51
TcCLB.427247.4	Q4CN52
TcCLB.427355.10	Q4CKD8
TcCLB.427743.9	Q4CKX7
TcCLB.427789.10	Q4CPU8
TcCLB.427789.20	Q4CPU7
TcCLB.427789.30	Q4CPU6
TcCLB.427789.39	Q4CPU5
TcCLB.428403.10	Q4CKU5
TcCLB.428403.5	Q4CKU6
TcCLB.428999.10	Q4CQN5
TcCLB.428999.20	Q4CQN4
TcCLB.428999.30	Q4CQN3
TcCLB.429229.10	Q4CKS3
TcCLB.429251.10	Q4CKD0
TcCLB.429257.10	Q4CNT7
TcCLB.429257.20	Q4CNT6
TcCLB.430061.9	Q4CLI6
TcCLB.430281.20	Q4CL19
TcCLB.430539.10	Q4CLK9
TcCLB.430539.20	Q4CLK8
TcCLB.430603.20	Q4CLJ5
TcCLB.430605.10	Q4CUL2
TcCLB.430605.20	Q4CUL1
TcCLB.430605.29	Q4CUL0
TcCLB.430605.40	Q4CUK9
TcCLB.430727.9	Q4CKD5
TcCLB.430737.10	Q868H8
TcCLB.430737.20	Q4CKN9
TcCLB.430895.10	Q4CRC3
TcCLB.430895.16	Q4CRC2
TcCLB.430895.4	Q4CRC4
TcCLB.431357.10	Q4CL61
TcCLB.431357.20	Q4CL60
TcCLB.431849.10	Q4CKK2
TcCLB.431849.20	Q4CKK1
TcCLB.431889.10	Q4CKE3
TcCLB.432027.9	Q4CKM2
TcCLB.432067.10	Q4CL94
TcCLB.432443.10	Q4CLC5
TcCLB.432621.9	Q4CKI7
TcCLB.432629.30	Q4CSM6
TcCLB.432677.20	Q4CL09
TcCLB.432867.10	Q4CLB7
TcCLB.432867.20	Q4CLB6
TcCLB.432995.9	Q4CKL4
TcCLB.432997.10	Q4CLF9
TcCLB.433061.10	Q4CKL3
TcCLB.433237.10	Q4CL96
TcCLB.433273.10	Q4CKH8
TcCLB.433559.10	Q4CKN5
TcCLB.433677.10	Q4CL32
TcCLB.433677.19	Q4CL31
TcCLB.433733.10	Q4CKI9
TcCLB.434259.10	Q4CLS6
TcCLB.434259.19	Q4CLS5
TcCLB.434931.10	Q4CLP9
TcCLB.434931.20	Q4CLP8
TcCLB.434945.10	Q4CKW1
TcCLB.434945.4	Q4CKW2
TcCLB.435519.10	Q4CLD4
TcCLB.435519.19	Q4CLD3
TcCLB.435665.10	Q4CKY3
TcCLB.436083.9	Q4CKB9
TcCLB.436137.9	Q4CRD7
TcCLB.436497.10	Q4CLL7
TcCLB.436521.9	Q4CLD0
TcCLB.436535.10	Q4CML3
TcCLB.436535.19	Q4CML2
TcCLB.436761.10	Q4CKH6
TcCLB.436761.20	Q4CKH5
TcCLB.437121.9	Q4CMW6
TcCLB.437155.9	Q4CKA1
TcCLB.437349.10	Q4CLE7
TcCLB.437575.18	Q4CM80
TcCLB.437575.9	Q4CM81
TcCLB.437999.9	Q4CLU2
TcCLB.438059.10	Q4CKI0
TcCLB.438147.18	Q4CKQ9
TcCLB.438147.9	Q4CKR0
TcCLB.438313.9	Q4CL91
TcCLB.438897.10	Q4CL97
TcCLB.438923.10	Q4CLI3
TcCLB.439125.10	Q4CKH0
TcCLB.439245.10	Q4CKQ3
TcCLB.439301.9	Q4CKE2
TcCLB.439307.19	Q4CL78
TcCLB.439307.9	Q4CL79
TcCLB.439653.10	Q4CL36
TcCLB.440099.10	Q4CM34
TcCLB.440099.19	Q4CM33
TcCLB.440099.28	Q4CM32
TcCLB.440101.10	Q4CKJ1
TcCLB.440343.9	Q4CLF3
TcCLB.440363.10	Q4CL89
TcCLB.440363.19	Q4CL88
TcCLB.441061.9	Q4CKA4
TcCLB.441241.10	Q4CKG3
TcCLB.441401.10	Q4CLJ4
TcCLB.441729.9	Q4CKB7
TcCLB.441923.10	Q4CKV9
TcCLB.441967.9	Q4CKA7
TcCLB.442297.10	Q4CKA8
TcCLB.442383.19	Q4CL24
TcCLB.442383.9	Q4CL25
TcCLB.442495.10	Q4CLN4
TcCLB.442495.19	Q4CLN3
TcCLB.442629.9	Q4CKC6
TcCLB.442801.10	Q4CKJ4
TcCLB.443397.9	Q4CKI1
TcCLB.443403.9	Q4CKF9
TcCLB.443683.9	Q4CKK7
TcCLB.443971.10	Q4CKU2
TcCLB.444331.10	Q4CKK9
TcCLB.444777.10	Q4CNV9
TcCLB.444777.20	Q4CNV8
TcCLB.444777.29	Q4CNV7
TcCLB.445011.10	Q4CLB9
TcCLB.445011.19	Q4CLB8
TcCLB.445281.9	Q4CKH9
TcCLB.445553.10	Q4CL20
TcCLB.445557.10	Q4CKN4
TcCLB.445777.10	Q4CK88
TcCLB.445849.10	Q4CKF8
TcCLB.445869.10	Q4CKG8
TcCLB.446067.9	Q4CMZ3
TcCLB.446325.9	Q4CL80
TcCLB.447135.10	Q4CPE5
TcCLB.447255.10	Q4CNV1
TcCLB.447255.20	Q4CNV0
TcCLB.447255.29	Q4CNU9
TcCLB.447255.4	Q4CNV2
TcCLB.447483.10	Q4CLG2
TcCLB.447483.4	Q4CLG3
TcCLB.447705.19	Q4CKB3
TcCLB.447705.9	Q4CKB4
TcCLB.447801.10	Q4CKJ6
TcCLB.447925.10	Q4CK85
TcCLB.448197.10	Q4CKD4
TcCLB.448329.10	Q4CKS8
TcCLB.448387.9	Q4CL26
TcCLB.448567.9	Q4CKP9
TcCLB.448661.10	Q4CKZ1
TcCLB.448661.20	Q4CKZ0
TcCLB.449247.10	Q4CM59
TcCLB.449247.20	Q4CM58
TcCLB.449247.4	Q4CM60
TcCLB.449759.9	Q4CKL0
TcCLB.450019.9	Q4CPW9
TcCLB.450061.10	Q4CLY0
TcCLB.450155.9	Q4CL41
TcCLB.450161.10	Q4CK87
TcCLB.450489.10	Q4CKI2
TcCLB.451263.9	Q4CKK8
TcCLB.452039.9	Q4CKS0
TcCLB.452283.4	Q4CKT9
TcCLB.452475.10	Q4CKK3
TcCLB.452699.30	Q4CUL3
TcCLB.452895.10	Q4CKM3
TcCLB.453445.10	Q4CLZ2
TcCLB.453445.20	Q4CLZ1
TcCLB.453767.50	Q4CTG2
TcCLB.453917.9	Q4CL46
TcCLB.454787.10	Q4CL70
TcCLB.455171.9	Q4CKG0
TcCLB.455721.9	Q4CM35
TcCLB.455727.10	Q4CKW0
TcCLB.456021.10	Q4CKE8
TcCLB.456097.10	Q4CVS7
TcCLB.456097.30	Q4CVS6
TcCLB.456139.10	Q4CLM0
TcCLB.457101.10	Q4CTE1
TcCLB.457101.20	Q4CTE0
TcCLB.457101.30	Q4CTD9
TcCLB.457109.9	Q4CKH1
TcCLB.457251.10	Q4CM68
TcCLB.457251.19	Q4CM67
TcCLB.457339.10	Q4CKU9
TcCLB.457339.19	Q4CKU8
TcCLB.457547.9	Q4CNL9
TcCLB.457979.10	Q4CM22
TcCLB.458015.10	Q4CNM0
TcCLB.458015.4	Q4CNM1
TcCLB.458153.10	Q4CL47
TcCLB.458241.10	Q4CLS1
TcCLB.458759.10	Q4CMM4
TcCLB.458759.14	Q4CMM3
TcCLB.458759.20	Q4CMM2
TcCLB.459061.10	Q4CLG7
TcCLB.459199.10	Q4CQ60
TcCLB.459389.10	Q4CLJ9
TcCLB.459793.10	Q4CLT6
TcCLB.460061.10	Q4CKF0
TcCLB.460061.20	Q4CKE9
TcCLB.460111.10	Q4CLL1
TcCLB.460125.10	Q4CKM5
TcCLB.460127.20	Q4CSD4
TcCLB.460127.30	Q4CSD3
TcCLB.460747.20	Q4CQX6
TcCLB.460747.30	Q4CQX5
TcCLB.460747.9	Q4CQX7
TcCLB.460757.10	Q4CKV7
TcCLB.460757.20	Q4CKV6
TcCLB.461165.10	Q4CNR0
TcCLB.461165.16	Q4CNQ9
TcCLB.461165.4	Q4CNR1
TcCLB.461515.10	Q4CL35
TcCLB.461927.9	Q4CL49
TcCLB.462543.9	Q4CKE7
TcCLB.462545.9	Q4CL77
TcCLB.462761.10	Q4CMP1
TcCLB.462761.16	Q4CMP0
TcCLB.462761.4	Q4CMP2
TcCLB.463155.20	Q4CU66
TcCLB.463269.10	Q4CKH7
TcCLB.463279.20	Q4CPX0
TcCLB.463279.9	Q4CPX1
TcCLB.463297.10	Q4CKQ0
TcCLB.463323.10	Q4CQT4
TcCLB.463359.9	Q4CL59
TcCLB.463451.10	Q4CLJ0
TcCLB.463451.4	Q4CLJ1
TcCLB.463673.9	Q4CKJ5
TcCLB.463955.10	Q4CNZ7
TcCLB.463955.20	Q4CNZ6
TcCLB.464415.10	Q4CKQ4
TcCLB.464807.10	Q4CNP2
TcCLB.464807.20	Q4CNP1
TcCLB.464879.9	Q4CKA0
TcCLB.465323.10	Q4CKY2
TcCLB.465323.20	Q4CKY1
TcCLB.466007.9	Q4CL04
TcCLB.466529.9	Q4CKG4
TcCLB.466531.9	Q4CKB6
TcCLB.466593.10	Q4CM11
TcCLB.466593.19	Q4CM10
TcCLB.466823.10	Q4CL72
TcCLB.466823.20	Q4CL71
TcCLB.466879.10	Q4CKD1
TcCLB.467287.10	Q4CQJ5
TcCLB.467287.20	Q4CQJ4
TcCLB.467287.30	Q4CQJ3
TcCLB.467465.10	Q4CL62
TcCLB.467795.19	Q4CL17
TcCLB.467795.9	Q4CL18
TcCLB.468005.9	Q4CKS5
TcCLB.468041.10	Q4CQ73
TcCLB.468217.14	Q4CNN7
TcCLB.468217.30	Q4CNN6
TcCLB.468283.9	Q4CKW7
TcCLB.468405.9	Q4CKL5
TcCLB.468803.10	Q4CL37
TcCLB.468941.9	Q4CKM6
TcCLB.469435.10	Q4CKV2
TcCLB.469435.4	Q4CKV3
TcCLB.469735.9	Q4CN22
TcCLB.469785.10	Q4CT02
TcCLB.469785.20	Q4CT01
TcCLB.469785.30	Q4CT00
TcCLB.469785.40	Q4CSZ9
TcCLB.469785.5	Q4CT03
TcCLB.470169.9	Q4CL95
TcCLB.470399.10	Q4CKY4
TcCLB.470521.10	Q4CL33
TcCLB.470687.9	Q4CLS8
TcCLB.470827.20	Q4CQU8
TcCLB.471403.9	Q4CQ97
TcCLB.471901.10	Q4CNX8
TcCLB.471901.20	Q4CNX7
TcCLB.471901.5	Q4CNX9
TcCLB.472357.10	Q4CQY9
TcCLB.472777.20	Q4CMH4
TcCLB.472777.30	Q4CMH3
TcCLB.472777.9	Q4CMH5
TcCLB.472833.10	Q4CKK6
TcCLB.473111.10	Q4CKJ7
TcCLB.473313.10	Q4CKN1
TcCLB.473619.9	Q4CKJ8
TcCLB.473633.9	Q4CKM1
TcCLB.473703.10	Q4CKC4
TcCLB.473709.10	Q4CKA9
TcCLB.473755.9	Q4CL48
TcCLB.474339.9	Q4CKS1
TcCLB.474341.9	Q4CKW5
TcCLB.474887.9	Q4CKE5
TcCLB.474937.9	Q4CL50
TcCLB.475705.9	Q4CLM8
TcCLB.476125.9	Q4CLJ3
TcCLB.476421.9	Q4CLT4
TcCLB.476725.9	Q4CPD4
TcCLB.476733.10	Q4CQF5
TcCLB.476733.20	Q4CQF4
TcCLB.476733.29	Q4CQF3
TcCLB.477079.10	Q4CLH7
TcCLB.477957.10	Q4CLH1
TcCLB.477983.10	Q4CL64
TcCLB.478463.10	Q4CL01
TcCLB.478671.9	Q4CKR7
TcCLB.479253.9	Q4CKX8
TcCLB.479379.9	Q4CKF1
TcCLB.479481.10	Q4CM04
TcCLB.479517.30	Q4CRU2
TcCLB.479517.50	Q4CRU1
TcCLB.479847.20	Q4CM28
TcCLB.479883.10	Q4CKE0
TcCLB.480561.10	Q4CKP5
TcCLB.480653.10	Q4CKI3
TcCLB.480785.10	Q4CLM3
TcCLB.480963.10	Q4CQX4
TcCLB.480975.10	Q4CKE4
TcCLB.480997.10	Q4CM86
TcCLB.481099.9	Q4CLF5
TcCLB.481211.10	Q4CRT6
TcCLB.481211.20	Q4CRT5
TcCLB.481211.30	Q4CRT4
TcCLB.481211.5	Q4CRT7
TcCLB.481435.9	Q4CKX3
TcCLB.481729.10	Q4CKN3
TcCLB.481729.20	Q4CKN2
TcCLB.482097.10	Q4CKF3
TcCLB.482097.20	Q4CKF2
TcCLB.482319.10	Q4CL68
TcCLB.482319.19	Q4CL67
TcCLB.482369.10	Q4CRC7
TcCLB.482369.20	Q4CRC6
TcCLB.482369.29	Q4CRC5
TcCLB.482425.10	Q4CLR0
TcCLB.482471.10	Q4CM54
TcCLB.482471.19	Q4CM53
TcCLB.482971.9	Q4CKR3
TcCLB.483009.9	Q4CL08
TcCLB.483183.10	Q4CKZ4
TcCLB.483581.9	Q4CKB5
TcCLB.483623.10	Q4CKD9
TcCLB.483813.10	Q4CKE6
TcCLB.484299.10	Q4CL55
TcCLB.484299.4	Q4CL56
TcCLB.484311.10	Q4CLF8
TcCLB.484949.9	Q4CLI4
TcCLB.485683.10	Q4CL38
TcCLB.485683.5	Q4CL39
TcCLB.485845.9	Q4CKU1
TcCLB.485889.10	Q4CQ02
TcCLB.485889.16	Q4CQ01
TcCLB.485889.4	Q4CQ03
TcCLB.486465.9	Q4CKB1
TcCLB.486901.10	Q4CKX2
TcCLB.487507.10	Q4CVR5
TcCLB.490165.19	Q4CKN6
TcCLB.490165.9	Q4CKN7
TcCLB.490507.10	Q4CL74
TcCLB.492827.10	Q4CKT2
TcCLB.494675.10	Q4CLW0
TcCLB.495369.10	Q4CK95
TcCLB.498829.10	Q4CMB5
TcCLB.498829.21	Q4CMB4
TcCLB.503391.10	Q4CKB0
TcCLB.503393.10	Q4CK92
TcCLB.503395.10	Q4CSL5
TcCLB.503395.20	Q4CSL4
TcCLB.503395.30	Q4CSL3
TcCLB.503395.40	Q4CSL2
TcCLB.503395.50	Q4CSL1
TcCLB.503395.59	Q4CSL0
TcCLB.503399.10	Q4CQ96
TcCLB.503399.20	Q4CQ95
TcCLB.503399.29	Q4CQ94
TcCLB.503401.11	Q4CV10
TcCLB.503401.20	Q4CV09
TcCLB.503401.29	Q4CV08
TcCLB.503401.40	Q4CV07
TcCLB.503403.20	Q4CPD1
TcCLB.503405.10	Q4CN04
TcCLB.503407.10	Q4CPQ1
TcCLB.503407.20	Q4CPQ0
TcCLB.503409.10	Q4CP45
TcCLB.503409.20	Q4CP44
TcCLB.503411.10	Q4CV72
TcCLB.503411.20	Q4CV71
TcCLB.503411.30	Q4CV70
TcCLB.503411.4	Q4CV73
TcCLB.503413.19	Q4CUD9
TcCLB.503413.4	Q4CUE0
TcCLB.503415.30	Q4D315
TcCLB.503415.40	Q4D314
TcCLB.503417.20	Q4D0G3
TcCLB.503417.30	Q4D0G2
TcCLB.503417.33	Q4D0G1
TcCLB.503417.36	Q4D0G0
TcCLB.503417.40	Q4D0F9
TcCLB.503417.50	Q4D0F8
TcCLB.503419.10	Q4CZ31
TcCLB.503419.20	Q4CZ30
TcCLB.503419.30	Q4CZ29
TcCLB.503419.40	Q4CZ28
TcCLB.503419.50	Q4CZ27
TcCLB.503419.54	Q4CZ26
TcCLB.503419.60	Q4CZ25
TcCLB.503423.20	Q4CRF3
TcCLB.503423.30	Q4CRF2
TcCLB.503423.5	Q4CRF4
TcCLB.503425.10	Q4CNA9
TcCLB.503425.20	Q4CNA8
TcCLB.503425.29	Q4CNA7
TcCLB.503425.5	Q4CNB0
TcCLB.503427.9	Q4CNA6
TcCLB.503429.30	Q4CTA1
TcCLB.503429.39	Q4CTA0
TcCLB.503431.10	Q4D4E4
TcCLB.503431.100	Q4D4D5
TcCLB.503431.109	Q4D4D4
TcCLB.503431.20	Q4D4E3
TcCLB.503431.30	Q4D4E2
TcCLB.503431.40	Q4D4E1
TcCLB.503431.50	Q4D4E0
TcCLB.503431.60	Q4D4D9
TcCLB.503431.70	Q4D4D8
TcCLB.503431.80	Q4D4D7
TcCLB.503431.90	Q4D4D6
TcCLB.503433.10	Q4CPZ6
TcCLB.503433.20	Q4CPZ5
TcCLB.503433.30	Q4CPZ4
TcCLB.503435.14	Q4CPZ8
TcCLB.503435.30	Q4CPZ7
TcCLB.503441.5	Q4CSM7
TcCLB.503445.9	Q4CQP8
TcCLB.503447.20	Q4D7N9
TcCLB.503447.40	Q4D7N8
TcCLB.503447.50	Q4D7N7
TcCLB.503447.60	Q4D7N6
TcCLB.503449.10	Q4CRX5
TcCLB.503449.14	Q4CRX4
TcCLB.503449.20	Q4CRX3
TcCLB.503449.30	Q4CRX2
TcCLB.503449.40	Q4CRX1
TcCLB.503449.5	Q4CRX6
TcCLB.503451.9	Q4CP84
TcCLB.503453.10	Q4D8K6
TcCLB.503453.100	Q4D8J6
TcCLB.503453.20	Q4D8K5
TcCLB.503453.30	Q4D8K4
TcCLB.503453.4	Q4D8K7
TcCLB.503453.40	Q4D8K3
TcCLB.503453.50	Q4D8K2
TcCLB.503453.60	Q4D8K1
TcCLB.503453.64	Q4D8K0
TcCLB.503453.70	Q4D8J9
TcCLB.503453.80	Q4D8J8
TcCLB.503453.90	Q4D8J7
TcCLB.503455.10	Q4CXE7
TcCLB.503455.20	Q4CXE6
TcCLB.503455.30	Q4CXE5
TcCLB.503457.10	Q4CM17
TcCLB.503457.4	Q4CM18
TcCLB.503459.10	Q4CMA4
TcCLB.503459.20	Q4CMA3
TcCLB.503459.29	Q4CMA2
TcCLB.503461.20	Q4CSD8
TcCLB.503461.30	Q4CSD7
TcCLB.503463.10	Q4CRV2
TcCLB.503463.20	Q4CRV1
TcCLB.503463.30	Q4CRV0
TcCLB.503465.10	Q4CWV9
TcCLB.503465.30	Q4CWV8
TcCLB.503465.40	Q4CWV7
TcCLB.503465.49	Q4CWV6
TcCLB.503467.20	Q4CQU5
TcCLB.503467.30	Q4CQU4
TcCLB.503467.9	Q4CQU6
TcCLB.503469.9	Q4CUD3
TcCLB.503471.10	Q4CT10
TcCLB.503471.19	Q4CT09
TcCLB.503473.10	Q4CNL5
TcCLB.503473.20	Q4CNL4
TcCLB.503473.4	Q4CNL6
TcCLB.503477.10	Q4CUD8
TcCLB.503477.20	Q4CUD7
TcCLB.503477.30	Q4CUD6
TcCLB.503479.10	Q4D6Z5
TcCLB.503479.30	Q4D6Z4
TcCLB.503479.40	Q4D6Z3
TcCLB.503479.49	Q4D6Z2
TcCLB.503479.60	Q4D6Z1
TcCLB.503479.70	Q4D6Z0
TcCLB.503481.20	Q4CPN8
TcCLB.503483.9	Q4CMA6
TcCLB.503487.10	Q4CYM3
TcCLB.503487.20	Q4CYM2
TcCLB.503487.30	Q4CYM1
TcCLB.503487.40	Q4CYM0
TcCLB.503487.50	Q4CYL9
TcCLB.503487.60	Q4CYL8
TcCLB.503487.70	Q4CYL7
TcCLB.503489.10	Q4CSH9
TcCLB.503489.20	Q4CSH8
TcCLB.503489.24	Q4CSH7
TcCLB.503489.30	Q4CSH6
TcCLB.503491.19	Q4CZA8
TcCLB.503491.39	Q4CZA7
TcCLB.503493.10	Q4CTI4
TcCLB.503493.20	Q4CTI3
TcCLB.503493.30	Q4CTI2
TcCLB.503493.40	Q4CTI1
TcCLB.503495.10	Q4D1D7
TcCLB.503495.5	Q4D1D8
TcCLB.503499.10	Q4CS20
TcCLB.503499.20	Q4CS19
TcCLB.503499.24	Q4CS18
TcCLB.503501.14	Q4CWZ6
TcCLB.503501.7	Q4CWZ7
TcCLB.503501.70	Q4CWZ5
TcCLB.503503.30	Q4CTZ6
TcCLB.503503.40	Q4CTZ5
TcCLB.503505.10	Q4CPY1
TcCLB.503505.14	Q4CQC0
TcCLB.503505.20	Q4CQB9
TcCLB.503507.20	Q4CRQ8
TcCLB.503507.50	Q4CRQ7
TcCLB.503509.10	Q4CMY4
TcCLB.503511.10	Q4CMG2
TcCLB.503513.10	Q4CSX2
TcCLB.503513.20	Q4CSX1
TcCLB.503513.40	Q4CSX0
