UNIPROTKB GENES
Q4DTX9 Tc00.1047053509233.160
Q4CQJ5 Tc00.1047053467287.10
Q4DEP9 Tc00.1047053507233.10 Tc00.1047053508637.10
Q4CPS3 Tc00.1047053509623.19 Tc00.1047053510003.41
Q4CV79 Tc00.1047053506815.60 Tc00.1047053507105.40
Q4D6V9 Tc00.1047053510525.100 Tc00.1047053510525.80
Q4DTK6 Tc00.1047053508761.260 Tc00.1047053511149.210
Q4D8A3 Tc00.1047053509081.110 Tc00.1047053511553.100
Q4D2I4 Tc00.1047053504433.10 Tc00.1047053507951.170
Q4E1E4 Tc00.1047053508139.240 Tc00.1047053508139.250
Q4DC23 Tc00.1047053506213.80 Tc00.1047053511287.30
Q4D712 Tc00.1047053504431.90 Tc00.1047053507951.140
Q4DBS1 ARPC3 Tc00.1047053508625.30
Q4D5K2 Tc00.1047053508299.60 Tc00.1047053511527.34
Q4D7B4 Tc00.1047053510659.240 Tc00.1047053510743.70
Q4CQU0 Tc00.1047053503719.20 Tc00.1047053509825.14
Q4CYE3 Tc00.1047053503801.30 Tc00.1047053508817.50
Q4CRE2 Tc00.1047053506819.40 Tc00.1047053511545.130
Q4CZH3 Tc00.1047053509471.59 Tc00.1047053509471.68 Tc00.1047053509471.77 Tc00.1047053509471.86
Q4DEH9 Tc00.1047053504867.70 Tc00.1047053510943.130
Q4D729 Tc00.1047053506275.20 Tc00.1047053510719.260
Q4CM27 Tc00.1047053503577.20 Tc00.1047053510943.60
Q4DEP1 Tc00.1047053506739.50 Tc00.1047053510819.60
Q4CYE4 Tc00.1047053503801.20 Tc00.1047053508817.60
Q4CLQ9 Tc00.1047053508651.20 Tc00.1047053509961.9
Q4DJB6 Tc00.1047053508851.180 Tc00.1047053511589.130
Q4CPV7 Tc00.1047053503819.30 Tc00.1047053510359.310
Q4E4N4 Tc00.1047053506925.120 Tc00.1047053506925.130
Q4DCN9 Tc00.1047053506943.50 Tc00.1047053506943.60
Q4CLR3 Tc00.1047053511519.18 Tc00.1047053511521.24
Q4D654 Tc00.1047053504881.14 Tc00.1047053506579.119
Q4D108 Tc00.1047053504243.10 Tc00.1047053511837.138
Q4D214 Tc00.1047053508503.20 Tc00.1047053510565.30
Q4DFZ4 Tc00.1047053506635.44 Tc00.1047053508027.94
Q4D7I0 Tc00.1047053508601.50 Tc00.1047053511801.34
Q4DC04 Tc00.1047053507009.90 Tc00.1047053510667.70
Q4DH47 Tc00.1047053507007.45 Tc00.1047053509551.95
Q4D8T4 Tc00.1047053503579.119 Tc00.1047053507517.104
Q4CR40 Tc00.1047053504411.30 Tc00.1047053505009.30
Q4DN07 Tc00.1047053506203.80
Q4CU61 Tc00.1047053509671.80 Tc00.1047053510765.60
Q4CUG4 Tc00.1047053508689.20 Tc00.1047053510877.150
Q4DDU4 Tc00.1047053506751.50 Tc00.1047053510359.610
Q4DZG4 Tc00.1047053508641.320
Q4DEI2 Tc00.1047053504867.40 Tc00.1047053510943.100
Q4DX54 ALP4 Tc00.1047053508257.50
Q4CZS7 Tc00.1047053507941.14 Tc00.1047053509985.69
Q4CZX3 Tc00.1047053503929.20 Tc00.1047053506405.110
Q4CPD8 Tc00.1047053509749.33 Tc00.1047053509749.36
Q4CTQ8 ARPC1 Tc00.1047053511275.30
Q4DIZ9 Tc00.1047053503833.40 Tc00.1047053506213.60 Tc00.1047053511287.120 Tc00.1047053511287.40
Q4DW23 Tc00.1047053507603.54 Tc00.1047053509429.124
Q4DKZ2 Tc00.1047053506957.110 Tc00.1047053511001.100
Q4DAV9 Tc00.1047053504069.56 Tc00.1047053507641.233 Tc00.1047053511145.46
Q4D8A5 Tc00.1047053509081.20 Tc00.1047053511553.30
Q4CVZ2 Tc00.1047053504539.20 Tc00.1047053506533.106 Tc00.1047053507157.10 Tc00.1047053509147.50
Q4DTX6 Tc00.1047053504105.94 Tc00.1047053509233.190
Q4DGP0 Tc00.1047053506835.150 Tc00.1047053506945.105
Q4DTN2 Tc00.1047053511211.120 Tc00.1047053511211.130
Q4DBM7 Tc00.1047053509105.140 Tc00.1047053509643.130
Q4CUZ4 Tc00.1047053508267.20 Tc00.1047053508267.40
Q4D9I4 Tc00.1047053507061.34 Tc00.1047053509775.34
Q4DD81 Tc00.1047053509747.20 Tc00.1047053510719.160
Q4DFV9 Tc00.1047053506367.174 Tc00.1047053506629.90
Q4CT35 Tc00.1047053504575.15 Tc00.1047053509011.54
Q4CXA2 Tc00.1047053510961.10 Tc00.1047053510961.30
Q4E093 Tc00.1047053506679.100 Tc00.1047053506679.94
Q4D6I5 Tc00.1047053409117.20 Tc00.1047053506945.230 Tc00.1047053508823.50
Q4D621 Tc00.1047053507907.30 Tc00.1047053507907.60
Q4CTR5 Tc00.1047053506861.30 Tc00.1047053506937.30 Tc00.1047053510437.20
Q4CQI6 Tc00.1047053505481.10 Tc00.1047053510499.20
Q4CLJ5 Tc00.1047053430603.20 Tc00.1047053509527.10
Q4CSC4 Tc00.1047053506945.160 Tc00.1047053510445.50
Q4DH43 Tc00.1047053507007.74 Tc00.1047053509551.64
Q4CRB0 Tc00.1047053511679.10 Tc00.1047053511685.30
Q4CWD6 Tc00.1047053510029.70 Tc00.1047053510973.30 Tc00.1047053511189.30
Q4CQE2 Tc00.1047053509199.24
Q4E5J2 Tc00.1047053506357.90 Tc00.1047053511277.20
Q4CSL1 Tc00.1047053503395.50 Tc00.1047053506181.59
Q4CYN7 Tc00.1047053504017.50 Tc00.1047053511231.40
Q4DE00 Tc00.1047053508303.4 Tc00.1047053511179.160
Q4CUC8 Tc00.1047053506593.19 Tc00.1047053506829.39
Q4DXN5 Tc00.1047053509753.60 Tc00.1047053509753.70
Q4E3K5 AIP1 Tc00.1047053510329.80
Q4CSB3 Tc00.1047053504339.10 Tc00.1047053508677.90
Q4D300 Tc00.1047053504839.36 Tc00.1047053507259.4
Q4CRX5 Tc00.1047053503449.10 Tc00.1047053509875.210
Q4CVQ9 Tc00.1047053506163.40 Tc00.1047053506867.20
Q4DKZ4 Tc00.1047053506957.90 Tc00.1047053511727.129
Q4D6Z6 Tc00.1047053508687.48 Tc00.1047053508687.66
Q4CT68 Tc00.1047053504643.30 Tc00.1047053509161.10
Q4DTQ1 Tc00.1047053504181.20 Tc00.1047053504181.30 Tc00.1047053509695.180 Tc00.1047053509695.184
Q4DW38 Tc00.1047053507681.150 Tc00.1047053507681.160
Q4CUQ3 Tc00.1047053511735.79 Tc00.1047053511737.9
Q4E078 Tc00.1047053503611.20 Tc00.1047053503611.40 Tc00.1047053506679.230 Tc00.1047053506679.250
Q4DR54 Tc00.1047053511259.210 Tc00.1047053511259.9
Q4CRI8 Tc00.1047053504635.20 Tc00.1047053507079.10 Tc00.1047053507223.20
Q4D441 Tc00.1047053506147.184 Tc00.1047053510733.54
Q4E4E7 Tc00.1047053510187.30 Tc00.1047053510187.40 Tc00.1047053510187.50
Q4D1A9 Tc00.1047053510491.20 Tc00.1047053511633.40
Q4DLP4 Tc00.1047053509693.194 Tc00.1047053509967.7
Q4CRK9 Tc00.1047053509243.60 Tc00.1047053510063.20
Q4D0Y0 Tc00.1047053510663.19 Tc00.1047053510663.30
Q4D5P4 Tc00.1047053509683.117 Tc00.1047053511051.39 Tc00.1047053511051.50
Q4D207 Tc00.1047053508503.100 Tc00.1047053510565.125
Q4D1Q8 ALP1 Tc00.1047053510945.30
Q4CM36 Tc00.1047053504983.10 Tc00.1047053505057.20
Q4CS61 Tc00.1047053511849.10 Tc00.1047053511849.20
Q4CRI9 Tc00.1047053504635.10 Tc00.1047053510773.120
Q4D708 Tc00.1047053507711.130 Tc00.1047053509641.10
Q4DNC9 Tc00.1047053507521.70
Q4CPL6 Tc00.1047053505809.20 Tc00.1047053508937.19
Q4DJX1 Tc00.1047053510879.110 Tc00.1047053510879.120
Q4DC28 Tc00.1047053506213.20 Tc00.1047053511287.70
Q4D3Z9 Tc00.1047053511865.54 Tc00.1047053511871.34
Q4CWG9 Tc00.1047053506565.4 Tc00.1047053506565.8 Tc00.1047053508145.10 Tc00.1047053508145.20 Tc00.1047053508145.30
Q4E661 Tc00.1047053508153.280 Tc00.1047053508153.290 Tc00.1047053510323.30
Q4CVW8 Tc00.1047053507485.20 Tc00.1047053507673.50
Q4CRP5 Tc00.1047053505075.10 Tc00.1047053507395.20
Q4DHA8 Tc00.1047053506779.44 Tc00.1047053511153.144
Q4E0W5 ALP5 Tc00.1047053508277.330
Q4D4K7 Tc00.1047053508707.280 Tc00.1047053511541.30
Q4D3H3 Tc00.1047053507511.81 Tc00.1047053507511.91
Q4D0U7 Tc00.1047053508319.70 Tc00.1047053508405.40
Q4DD50 Tc00.1047053510241.50 Tc00.1047053510243.40 Tc00.1047053510575.190 Tc00.1047053510579.80
Q4CXI5 Tc00.1047053507623.129 Tc00.1047053508821.50
Q4DDC5 Tc00.1047053507485.130 Tc00.1047053507485.150
Q4CSJ1 Tc00.1047053506699.6 Tc00.1047053508153.364
Q4CNZ5 Tc00.1047053507681.10 Tc00.1047053507769.10
Q4D4S1 Tc00.1047053504163.30 Tc00.1047053506401.120
Q4CRD0 Tc00.1047053506565.12 Tc00.1047053511837.129
Q4E1W9 Tc00.1047053507993.89 Tc00.1047053511277.539
Q4CRQ5 Tc00.1047053415187.10 Tc00.1047053507583.10 Tc00.1047053509951.20
Q4DEK4 Tc00.1047053503899.20 Tc00.1047053503899.30
Q4CR28 Tc00.1047053505757.10 Tc00.1047053506669.10
Q4DGZ5 Tc00.1047053511809.130 Tc00.1047053511809.99 Tc00.1047053511811.10
Q4CVG6 Tc00.1047053507873.34 Tc00.1047053510689.70
Q4D2V8 Tc00.1047053510737.70 Tc00.1047053510737.79
Q4DDD9 Tc00.1047053507485.10 Tc00.1047053507485.30
Q4E2E0 Tc00.1047053509979.90 Tc00.1047053509979.95 Tc00.1047053510039.90
Q4DLK0 Tc00.1047053503939.114 Tc00.1047053509805.84
Q4CRJ0 Tc00.1047053507359.20 Tc00.1047053509147.40
Q4CV38 Tc00.1047053503689.4 Tc00.1047053509571.79
Q4CUU5 Tc00.1047053506897.10 Tc00.1047053508789.220
Q4CMM4 Tc00.1047053458759.10
Q4DWX0 Tc00.1047053506885.280 Tc00.1047053510729.140
Q4DB26 Tc00.1047053506963.20 Tc00.1047053507831.90
Q4DFS0 Tc00.1047053504125.40 Tc00.1047053504131.180
Q4D7R0 Tc00.1047053509027.20 Tc00.1047053511127.270
Q4D4X6 Tc00.1047053509859.80
Q4D205 Tc00.1047053503575.34 Tc00.1047053510943.26
Q4CZU1 Tc00.1047053509567.50 Tc00.1047053511407.20
Q4DDC6 Tc00.1047053507485.120 Tc00.1047053507485.140
Q4D7Y8 Tc00.1047053508415.40 Tc00.1047053510755.50 Tc00.1047053510755.60
Q4DG45 Tc00.1047053510761.14 Tc00.1047053511067.20 Tc00.1047053511903.130
Q4CNF3 Tc00.1047053508197.20 Tc00.1047053508199.10
Q4E088 Tc00.1047053506679.140 Tc00.1047053506679.150
Q4D6H7 Tc00.1047053508475.10 Tc00.1047053508823.120 Tc00.1047053508823.140
Q4D3L9 Arp2 Tc00.1047053511361.40
Q4DCM8 Tc00.1047053510531.54 Tc00.1047053511819.14
Q4CZW1 Tc00.1047053508645.50 Tc00.1047053508647.10
Q4DXW6 Tc00.1047053506885.14 Tc00.1047053507773.34 Tc00.1047053510431.274
Q4DTP7 Tc00.1047053509695.210 Tc00.1047053509695.220
Q4CZ46 Tc00.1047053503987.10 Tc00.1047053511711.90
Q4DMW7 Tc00.1047053508593.10 Tc00.1047053508593.20
Q4DT45 Tc00.1047053511621.210 Tc00.1047053511621.80
Q4D3C2 Tc00.1047053511393.30
Q4DYB0 Tc00.1047053509207.11 Tc00.1047053509207.20 Tc00.1047053511809.135 Tc00.1047053511809.140 Tc00.1047053511817.140 Tc00.1047053511817.161 Tc00.1047053511817.171
Q4D5V4 ALP3 Tc00.1047053511857.50
Q4D1E5 Tc00.1047053504669.50 Tc00.1047053506015.40
Q4CS91 Arp3 Tc00.1047053503913.20 Tc00.1047053508277.260
Q4D7U5 Tc00.1047053506591.90 Tc00.1047053506989.270
Q4DGW5 CapZ-beta Tc00.1047053506975.49
Q4CU77 Tc00.1047053503891.100 Tc00.1047053510287.30
Q4CN74 Tc00.1047053505057.10 Tc00.1047053505115.10
Q4D0J9 Tc00.1047053505931.40 Tc00.1047053507817.18 Tc00.1047053507817.9
Q4CSZ2 Tc00.1047053506391.10 Tc00.1047053506391.20 Tc00.1047053507483.39
Q4E0Q3 Tc00.1047053506297.150 Tc00.1047053506297.160
Q4D916 Tc00.1047053507513.60 Tc00.1047053507513.70
Q4CRI4 Tc00.1047053504181.40 Tc00.1047053509695.190
Q4CLV5 Tc00.1047053507051.20 Tc00.1047053510907.20
Q4CQ04 Tc00.1047053503541.40 Tc00.1047053508277.65
Q4CNK3 Tc00.1047053504079.10 Tc00.1047053508717.40
Q4CWD8 Tc00.1047053510029.50 Tc00.1047053511291.110
Q4CR82 Tc00.1047053505123.10 Tc00.1047053508141.50
Q4D8K4 Tc00.1047053503453.30 Tc00.1047053506959.130
Q4D3V1 Tc00.1047053504445.10 Tc00.1047053504689.60
Q4D1W7 Tc00.1047053509965.50 Tc00.1047053511499.40
Q4D766 Tc00.1047053504159.40 Tc00.1047053506821.180
Q4DXU6 ALP2 Tc00.1047053510719.110
Q4CX77 Tc00.1047053509031.6 Tc00.1047053511487.71
Q4CUW6 Tc00.1047053507777.20 Tc00.1047053510173.130
Q4DWL0 Tc00.1047053506755.70 Tc00.1047053510359.60
Q4DJ48 Tc00.1047053511755.80
Q4D4S7 Tc00.1047053511021.10 Tc00.1047053511537.40
Q4CZP4 Tc00.1047053503893.80 Tc00.1047053508507.59
Q4DKS9 ARPC2 Tc00.1047053509569.90
Q4DM75 Tc00.1047053508515.20 Tc00.1047053508641.184
Q4CNV2 Tc00.1047053447255.4 Tc00.1047053506559.59
Q4CSQ1 Tc00.1047053506883.69 Tc00.1047053510429.24
Q4CMF1 Tc00.1047053508739.60 Tc00.1047053511681.20
Q4D898 Tc00.1047053509099.110 Tc00.1047053509319.20
Q4CXD3 ALP6 Tc00.1047053506695.10
Q4CSY1 Tc00.1047053407477.50 Tc00.1047053511389.110
Q4CVX9 Tc00.1047053509695.170 Tc00.1047053511729.40
Q4D8D3 Tc00.1047053508411.10
Q4D0D5 Tc00.1047053506893.40 Tc00.1047053508501.190
Q4CXX4 Tc00.1047053506297.350 Tc00.1047053508041.10
Q4D1E6 Tc00.1047053504669.30 Tc00.1047053506015.20
Q4D143 Tc00.1047053506985.40
Q4D492 Tc00.1047053504741.140 Tc00.1047053509317.20
Q4D0Z2 Tc00.1047053507159.30 Tc00.1047053507485.60
Q4D1Q2 Tc00.1047053509391.10 Tc00.1047053509391.20 Tc00.1047053509391.30
Q4D3A7 Tc00.1047053508413.68 Tc00.1047053508413.76 Tc00.1047053510755.98
Q4DAX0 Tc00.1047053506765.50 Tc00.1047053506767.240
Q4CU39 Tc00.1047053507923.10 Tc00.1047053511753.120
Q4CQ74 Tc00.1047053504655.30 Tc00.1047053506715.10
Q4DGP4 Tc00.1047053506835.110 Tc00.1047053506945.70
Q4D3Z6 Tc00.1047053511865.80 Tc00.1047053511871.10
Q4CW73 Tc00.1047053507077.50 Tc00.1047053510899.19
Q4D340 Tc00.1047053506887.80 Tc00.1047053510731.68
Q4CW49 Tc00.1047053506479.20 Tc00.1047053511425.30
Q4DDL6 Tc00.1047053507601.150 Tc00.1047053507601.160 Tc00.1047053507601.170 Tc00.1047053507943.10 Tc00.1047053507943.20 Tc00.1047053507943.30 Tc00.1047053507943.40
Q4D259 Tc00.1047053507245.40 Tc00.1047053507779.30
Q4CZE5 Tc00.1047053507979.40 Tc00.1047053510055.30
Q4DCP1 Tc00.1047053506943.40 Tc00.1047053509065.50
Q4DDD8 Tc00.1047053507485.15 Tc00.1047053507485.34 Tc00.1047053507673.65
Q4E4Q8 Tc00.1047053508461.500 Tc00.1047053508461.510
Q4D0Y5 Tc00.1047053507159.50 Tc00.1047053507159.70
Q4CRF7 Tc00.1047053511369.10
Q4D7V1 Tc00.1047053508971.50
Q4D9Z4 Tc00.1047053511281.60
Q4DAY4 Tc00.1047053506579.30
Q4E406 Tc00.1047053511127.140
Q4DDP6 Tc00.1047053510283.140
Q4DQP7 Tc00.1047053509167.200
Q4DYK3 Tc00.1047053506211.150
Q4DIR8 Tc00.1047053511661.50
Q4DZ99 Tc00.1047053504105.130
Q4DFS6 Tc00.1047053511555.80
Q4DGY9 Tc00.1047053511923.120
Q4DLE5 Tc00.1047053510747.170
Q4DUX9 Tc00.1047053506605.10
Q4DJ44 Tc00.1047053511239.10
Q4DWV9 Tc00.1047053507875.10
Q4DCQ3 Tc00.1047053509775.40
Q4DNA2 Tc00.1047053508541.160
Q4CM06 Tc00.1047053511493.5
Q4DA54 Tc00.1047053507019.40
Q4CNH7 Tc00.1047053509057.20
Q4E400 Tc00.1047053511127.230
Q4DWH5 Tc00.1047053511725.160
Q4DHL9 Tc00.1047053504137.20
Q4DY34 Tc00.1047053511727.250
Q4E1W2 Tc00.1047053507993.160
Q4CZQ9 Tc00.1047053503715.40
Q4DGT8 Tc00.1047053507081.110
Q4DQF9 Tc00.1047053506773.40
Q4D990 Tc00.1047053510823.80
Q4D3S1 Tc00.1047053510349.50
Q4E2E5 Tc00.1047053509979.40
Q4CV71 Tc00.1047053503411.20
Q4DRM5 Tc00.1047053509023.209
Q4DCI9 Tc00.1047053511469.30
Q4DDN3 Tc00.1047053507811.114
Q4DZM6 Tc00.1047053504147.190
Q4DYD5 Tc00.1047053506321.330
Q4CSB9 Tc00.1047053504167.30
Q4DMF5 Tc00.1047053506443.40
Q4D787 Tc00.1047053506351.70
Q4DGV2 Tc00.1047053507091.40
Q4E2W4 Tc00.1047053508175.329
Q4CXQ4 Tc00.1047053507943.70
Q4DQ03 Tc00.1047053509179.20
Q4E4E1 Tc00.1047053510187.100
Q4D5C1 Tc00.1047053508111.40
Q4CPZ0 Tc00.1047053510685.10
Q4DAQ3 Tc00.1047053503925.80
Q4DIP0 Tc00.1047053508045.60
Q4DLG9 Tc00.1047053503823.104
Q4DQU0 Tc00.1047053511821.70
Q4DBS3 Tc00.1047053508625.10
Q4CKJ0 Tc00.1047053426435.9
Q4CUS7 Tc00.1047053507539.10
Q4CSW5 Tc00.1047053507013.24
Q4D452 Tc00.1047053511229.80
Q4CUW3 Tc00.1047053510595.20
Q4DXI7 Tc00.1047053506941.80
Q4DHL1 Tc00.1047053504137.100
Q4DJQ3 Tc00.1047053507895.80
Q4E0S0 Tc00.1047053509965.400
Q4CKB3 Tc00.1047053447705.19
Q4DRL8 Tc00.1047053510741.70
Q4D5C2 Tc00.1047053508111.30
Q4DVC7 Tc00.1047053511217.140
Q4CQ40 Tc00.1047053503835.30
Q4D8W9 Tc00.1047053506587.70
Q4DB41 Tc00.1047053510173.10
